gsm	sample	coo
GSM4451376	DLBCL001	GCB
GSM4451377	DLBCL002	ABC
GSM4451378	DLBCL003	ABC
GSM4451379	DLBCL004	ABC
GSM4451380	DLBCL005	ABC
GSM4451381	DLBCL006	GCB
GSM4451382	DLBCL007	GCB
GSM4451383	DLBCL008	GCB
GSM4451384	DLBCL009	ABC
GSM4451385	DLBCL010	Type_3
GSM4451386	DLBCL011	Type_3
GSM4451387	DLBCL012	GCB
GSM4451388	DLBCL013	ABC
GSM4451389	DLBCL014	ABC
GSM4451390	DLBCL015	ABC
GSM4451391	DLBCL016	GCB
GSM4451392	DLBCL017	ABC
GSM4451393	DLBCL018	GCB
GSM4451394	DLBCL019	Type_3
GSM4451395	DLBCL020	ABC
GSM4451396	DLBCL021	GCB
GSM4451397	DLBCL022	ABC
GSM4451398	DLBCL023	Type_3
GSM4451399	DLBCL024	Type_3
GSM4451400	DLBCL025	ABC
GSM4451401	DLBCL026	ABC
GSM4451402	DLBCL027	Type_3
GSM4451403	DLBCL028	GCB
GSM4451404	DLBCL029	GCB
GSM4451405	DLBCL030	GCB
GSM4451406	DLBCL031	ABC
GSM4451407	DLBCL032	Type_3
GSM4451408	DLBCL033	GCB
GSM4451409	DLBCL034	ABC
GSM4451410	DLBCL035	ABC
GSM4451411	DLBCL036	Type_3
GSM4451412	DLBCL037	ABC
GSM4451413	DLBCL038	GCB
GSM4451414	DLBCL039	GCB
GSM4451415	DLBCL040	GCB
GSM4451416	DLBCL041	GCB
GSM4451417	DLBCL042	GCB
GSM4451418	DLBCL043	ABC
GSM4451419	DLBCL044	Type_3
GSM4451420	DLBCL045	Type_3
GSM4451421	DLBCL046	ABC
GSM4451422	DLBCL047	ABC
GSM4451423	DLBCL048	Type_3
GSM4451424	DLBCL049	Type_3
GSM4451425	DLBCL050	ABC
GSM4451426	DLBCL051	GCB
GSM4451427	DLBCL052	ABC
GSM4451428	DLBCL053	ABC
GSM4451429	DLBCL054	ABC
GSM4451430	DLBCL055	GCB
GSM4451431	DLBCL056	Type_3
GSM4451432	DLBCL057	GCB
GSM4451433	DLBCL058	Type_3
GSM4451434	DLBCL059	GCB
GSM4451435	DLBCL060	ABC
GSM4451436	DLBCL061	ABC
GSM4451437	DLBCL062	Type_3
GSM4451438	DLBCL063	ABC
GSM4451439	DLBCL064	ABC
GSM4451440	DLBCL065	ABC
GSM4451441	DLBCL066	GCB
GSM4451442	DLBCL067	ABC
GSM4451443	DLBCL068	Type_3
GSM4451444	DLBCL069	GCB
GSM4451445	DLBCL070	Type_3
GSM4451446	DLBCL071	ABC
GSM4451447	DLBCL072	Type_3
GSM4451448	DLBCL073	ABC
GSM4451449	DLBCL074	ABC
GSM4451450	DLBCL075	Type_3
GSM4451451	DLBCL076	ABC
GSM4451452	DLBCL077	ABC
GSM4451453	DLBCL078	ABC
GSM4451454	DLBCL079	GCB
GSM4451455	DLBCL080	Type_3
GSM4451456	DLBCL081	ABC
GSM4451457	DLBCL082	GCB
GSM4451458	DLBCL083	Type_3
GSM4451459	DLBCL084	ABC
GSM4451460	DLBCL085	ABC
GSM4451461	DLBCL086	GCB
GSM4451462	DLBCL087	ABC
GSM4451463	DLBCL088	GCB
GSM4451464	DLBCL089	ABC
GSM4451465	DLBCL090	ABC
GSM4451466	DLBCL091	GCB
GSM4451467	DLBCL092	GCB
GSM4451468	DLBCL093	Type_3
GSM4451469	DLBCL094	ABC
GSM4451470	DLBCL095	Type_3
GSM4451471	DLBCL096	GCB
GSM4451472	DLBCL097	GCB
GSM4451473	DLBCL098	ABC
GSM4451474	DLBCL099	ABC
GSM4451475	DLBCL100	Type_3
GSM4451476	DLBCL101	GCB
GSM4451477	DLBCL102	ABC
GSM4451478	DLBCL103	GCB
GSM4451479	DLBCL104	Type_3
GSM4451480	DLBCL105	ABC
GSM4451481	DLBCL106	Type_3
GSM4451482	DLBCL107	ABC
GSM4451483	DLBCL108	ABC
GSM4451484	DLBCL109	ABC
GSM4451485	DLBCL110	GCB
GSM4451486	DLBCL111	Type_3
