sample_id	gsm	source_sample
GSM4451376_C130795	GSM4451376	C130795
GSM4451377_C140386	GSM4451377	C140386
GSM4451378_C140526	GSM4451378	C140526
GSM4451379_C140622	GSM4451379	C140622
GSM4451380_C150199	GSM4451380	C150199
GSM4451381_C150587	GSM4451381	C150587
GSM4451382_G130026	GSM4451382	G130026
GSM4451383_G130276	GSM4451383	G130276
GSM4451384_G140114	GSM4451384	G140114
GSM4451385_G150038	GSM4451385	G150038
GSM4451386_GU130024	GSM4451386	GU130024
GSM4451387_GU130035	GSM4451387	GU130035
GSM4451388_GU130061	GSM4451388	GU130061
GSM4451389_GU130065	GSM4451389	GU130065
GSM4451390_GU140083	GSM4451390	GU140083
GSM4451391_LM130017	GSM4451391	LM130017
GSM4451392_LM130091	GSM4451392	LM130091
GSM4451393_LM130100	GSM4451393	LM130100
GSM4451394_LM140017	GSM4451394	LM140017
GSM4451395_LM140023	GSM4451395	LM140023
GSM4451396_LM140043	GSM4451396	LM140043
GSM4451397_LM140044	GSM4451397	LM140044
GSM4451398_LM140051	GSM4451398	LM140051
GSM4451399_LM140071	GSM4451399	LM140071
GSM4451400_LM140080	GSM4451400	LM140080
GSM4451401_LM140090	GSM4451401	LM140090
GSM4451402_LM150005	GSM4451402	LM150005
GSM4451403_LM150009	GSM4451403	LM150009
GSM4451404_LM150086	GSM4451404	LM150086
GSM4451405_LM150092	GSM4451405	LM150092
GSM4451406_LM150094	GSM4451406	LM150094
GSM4451407_LM150107	GSM4451407	LM150107
GSM4451408_LM150111	GSM4451408	LM150111
GSM4451409_LM150113	GSM4451409	LM150113
GSM4451410_LM150114	GSM4451410	LM150114
GSM4451411_LM150120	GSM4451411	LM150120
GSM4451412_LM150121	GSM4451412	LM150121
GSM4451413_LM150123	GSM4451413	LM150123
GSM4451414_LM150125	GSM4451414	LM150125
GSM4451415_LM150127	GSM4451415	LM150127
GSM4451416_LM150132	GSM4451416	LM150132
GSM4451417_LM150133	GSM4451417	LM150133
GSM4451418_LM150145	GSM4451418	LM150145
GSM4451419_LM160011	GSM4451419	LM160011
GSM4451420_LM160013	GSM4451420	LM160013
GSM4451421_LM160014	GSM4451421	LM160014
GSM4451422_LM160020	GSM4451422	LM160020
GSM4451423_LM160042	GSM4451423	LM160042
GSM4451424_LM160043	GSM4451424	LM160043
GSM4451425_LM160044	GSM4451425	LM160044
GSM4451426_LM160076	GSM4451426	LM160076
GSM4451427_LM160083	GSM4451427	LM160083
GSM4451428_LM160087	GSM4451428	LM160087
GSM4451429_LM160088	GSM4451429	LM160088
GSM4451430_LM160095	GSM4451430	LM160095
GSM4451431_LM160098	GSM4451431	LM160098
GSM4451432_LM160102	GSM4451432	LM160102
GSM4451433_LM160111	GSM4451433	LM160111
GSM4451434_LM160112	GSM4451434	LM160112
GSM4451435_LM160113	GSM4451435	LM160113
GSM4451436_LM160115	GSM4451436	LM160115
GSM4451437_LM160117	GSM4451437	LM160117
GSM4451438_LM160118	GSM4451438	LM160118
GSM4451439_LM160120	GSM4451439	LM160120
GSM4451440_LM160123	GSM4451440	LM160123
GSM4451441_LM160131	GSM4451441	LM160131
GSM4451442_LM160136	GSM4451442	LM160136
GSM4451443_LM160137	GSM4451443	LM160137
GSM4451444_LM160144	GSM4451444	LM160144
GSM4451445_LM160149	GSM4451445	LM160149
GSM4451446_LM170006	GSM4451446	LM170006
GSM4451447_LM170009	GSM4451447	LM170009
GSM4451448_LM170010	GSM4451448	LM170010
GSM4451449_LM170015	GSM4451449	LM170015
GSM4451450_LM170024	GSM4451450	LM170024
GSM4451451_LM170027	GSM4451451	LM170027
GSM4451452_LM170040	GSM4451452	LM170040
GSM4451453_LM170052	GSM4451453	LM170052
GSM4451454_LM170055	GSM4451454	LM170055
GSM4451455_LM170058	GSM4451455	LM170058
GSM4451456_LM170060	GSM4451456	LM170060
GSM4451457_LM170062	GSM4451457	LM170062
GSM4451458_LM170066	GSM4451458	LM170066
GSM4451459_LM170067	GSM4451459	LM170067
GSM4451460_LM170070	GSM4451460	LM170070
GSM4451461_LM170073	GSM4451461	LM170073
GSM4451462_LM170076	GSM4451462	LM170076
GSM4451463_LM170082	GSM4451463	LM170082
GSM4451464_LM170089	GSM4451464	LM170089
GSM4451465_LM170103	GSM4451465	LM170103
GSM4451466_LM170110	GSM4451466	LM170110
GSM4451467_LM180008	GSM4451467	LM180008
GSM4451468_LM180010	GSM4451468	LM180010
GSM4451469_LM180012	GSM4451469	LM180012
GSM4451470_LM180015	GSM4451470	LM180015
GSM4451471_LM180019	GSM4451471	LM180019
GSM4451472_LM180029	GSM4451472	LM180029
GSM4451473_LM180034	GSM4451473	LM180034
GSM4451474_LM180077	GSM4451474	LM180077
GSM4451475_LM180078	GSM4451475	LM180078
GSM4451476_LM180079	GSM4451476	LM180079
GSM4451477_LM180081	GSM4451477	LM180081
GSM4451478_LM180093	GSM4451478	LM180093
GSM4451479_LM180107	GSM4451479	LM180107
GSM4451480_LM180109	GSM4451480	LM180109
GSM4451481_LM180117	GSM4451481	LM180117
GSM4451482_LM180118	GSM4451482	LM180118
GSM4451483_LM180119	GSM4451483	LM180119
GSM4451484_LM180122	GSM4451484	LM180122
GSM4451485_LM180123	GSM4451485	LM180123
GSM4451486_O140100	GSM4451486	O140100
