sample_id	gsm	isg_score	coo
GSM4451376_C130795	GSM4451376	3.4871549139727422	GCB
GSM4451377_C140386	GSM4451377	4.407574808295402	ABC
GSM4451378_C140526	GSM4451378	4.1063951895336634	ABC
GSM4451379_C140622	GSM4451379	4.593189443621417	ABC
GSM4451380_C150199	GSM4451380	7.043676527854842	ABC
GSM4451381_C150587	GSM4451381	3.082476779402625	GCB
GSM4451382_G130026	GSM4451382	3.8939516979033577	GCB
GSM4451383_G130276	GSM4451383	3.4197969534596675	GCB
GSM4451384_G140114	GSM4451384	4.331008508646039	ABC
GSM4451385_G150038	GSM4451385	3.9041365075329244	Type_3
GSM4451386_GU130024	GSM4451386	5.137813817892751	Type_3
GSM4451387_GU130035	GSM4451387	0.8101174923017848	GCB
GSM4451388_GU130061	GSM4451388	4.906063513251169	ABC
GSM4451389_GU130065	GSM4451389	4.297693099163906	ABC
GSM4451390_GU140083	GSM4451390	5.379182224871834	ABC
GSM4451391_LM130017	GSM4451391	0.4363316634716635	GCB
GSM4451392_LM130091	GSM4451392	0.3612227261991226	ABC
GSM4451393_LM130100	GSM4451393	3.979875805163587	GCB
GSM4451394_LM140017	GSM4451394	4.130557278221951	Type_3
GSM4451395_LM140023	GSM4451395	4.357368482418744	ABC
GSM4451396_LM140043	GSM4451396	3.2167769407942117	GCB
GSM4451397_LM140044	GSM4451397	5.269430622248853	ABC
GSM4451398_LM140051	GSM4451398	3.652397144632144	Type_3
GSM4451399_LM140071	GSM4451399	5.657572945557441	Type_3
GSM4451400_LM140080	GSM4451400	3.553639768067941	ABC
GSM4451401_LM140090	GSM4451401	4.81963346517888	ABC
GSM4451402_LM150005	GSM4451402	4.748050284383266	Type_3
GSM4451403_LM150009	GSM4451403	6.652307693217125	GCB
GSM4451404_LM150086	GSM4451404	3.2660402511308293	GCB
GSM4451405_LM150092	GSM4451405	5.1743740617035225	GCB
GSM4451406_LM150094	GSM4451406	1.1058249743313573	ABC
GSM4451407_LM150107	GSM4451407	3.994573949384037	Type_3
GSM4451408_LM150111	GSM4451408	5.330731628670091	GCB
GSM4451409_LM150113	GSM4451409	4.576789208289045	ABC
GSM4451410_LM150114	GSM4451410	4.324242654067129	ABC
GSM4451411_LM150120	GSM4451411	4.898550461924225	Type_3
GSM4451412_LM150121	GSM4451412	4.872179737417347	ABC
GSM4451413_LM150123	GSM4451413	6.312564219874157	GCB
GSM4451414_LM150125	GSM4451414	5.790674502546824	GCB
GSM4451415_LM150127	GSM4451415	5.375673187114192	GCB
GSM4451416_LM150132	GSM4451416	5.258539584938295	GCB
GSM4451417_LM150133	GSM4451417	4.727872672414074	GCB
GSM4451418_LM150145	GSM4451418	3.792965306062812	ABC
GSM4451419_LM160011	GSM4451419	4.447786593108946	Type_3
GSM4451420_LM160013	GSM4451420	4.177851575474899	Type_3
GSM4451421_LM160014	GSM4451421	3.475367895160671	ABC
GSM4451422_LM160020	GSM4451422	3.172044840827982	ABC
GSM4451423_LM160042	GSM4451423	3.7448289099278904	Type_3
GSM4451424_LM160043	GSM4451424	4.879399399780805	Type_3
GSM4451425_LM160044	GSM4451425	3.589240103985998	ABC
GSM4451426_LM160076	GSM4451426	3.570492753790218	GCB
GSM4451427_LM160083	GSM4451427	4.5736550085948275	ABC
GSM4451428_LM160087	GSM4451428	4.255334619978858	ABC
GSM4451429_LM160088	GSM4451429	3.5541370947616633	ABC
GSM4451430_LM160095	GSM4451430	3.999685851464475	GCB
GSM4451431_LM160098	GSM4451431	5.281078418437533	Type_3
GSM4451432_LM160102	GSM4451432	5.363504464192599	GCB
GSM4451433_LM160111	GSM4451433	4.298154752649209	Type_3
GSM4451434_LM160112	GSM4451434	4.496230228288414	GCB
GSM4451435_LM160113	GSM4451435	4.36483989781662	ABC
GSM4451436_LM160115	GSM4451436	4.0378950412511845	ABC
GSM4451437_LM160117	GSM4451437	4.241149954020331	Type_3
GSM4451438_LM160118	GSM4451438	4.919175770971403	ABC
GSM4451439_LM160120	GSM4451439	3.119941320797458	ABC
GSM4451440_LM160123	GSM4451440	4.204238922727848	ABC
GSM4451441_LM160131	GSM4451441	3.460526924191626	GCB
GSM4451442_LM160136	GSM4451442	3.353305842207559	ABC
GSM4451443_LM160137	GSM4451443	3.4194350226983046	Type_3
GSM4451444_LM160144	GSM4451444	4.600708777143145	GCB
GSM4451445_LM160149	GSM4451445	3.1550369447237516	Type_3
GSM4451446_LM170006	GSM4451446	2.857663301486372	ABC
GSM4451447_LM170009	GSM4451447	4.799800526734185	Type_3
GSM4451448_LM170010	GSM4451448	4.0289215265134874	ABC
GSM4451449_LM170015	GSM4451449	3.7654183364591356	ABC
GSM4451450_LM170024	GSM4451450	4.244788693897805	Type_3
GSM4451451_LM170027	GSM4451451	3.3979155789815763	ABC
GSM4451452_LM170040	GSM4451452	2.9341685880639696	ABC
GSM4451453_LM170052	GSM4451453	4.544408997267688	ABC
GSM4451454_LM170055	GSM4451454	3.434946726656279	GCB
GSM4451455_LM170058	GSM4451455	2.9714196440889866	Type_3
GSM4451456_LM170060	GSM4451456	5.635506169895311	ABC
GSM4451457_LM170062	GSM4451457	3.2066011261044913	GCB
GSM4451458_LM170066	GSM4451458	4.295600205278808	Type_3
GSM4451459_LM170067	GSM4451459	3.6019469650218396	ABC
GSM4451460_LM170070	GSM4451460	0.15604682708561476	ABC
GSM4451461_LM170073	GSM4451461	4.101354939747002	GCB
GSM4451462_LM170076	GSM4451462	4.742891106870959	ABC
GSM4451463_LM170082	GSM4451463	4.336230853324429	GCB
GSM4451464_LM170089	GSM4451464	4.063167427299486	ABC
GSM4451465_LM170103	GSM4451465	4.874393105954729	ABC
GSM4451466_LM170110	GSM4451466	5.147191885380143	GCB
GSM4451467_LM180008	GSM4451467	4.0381262609244635	GCB
GSM4451468_LM180010	GSM4451468	4.218324886475397	Type_3
GSM4451469_LM180012	GSM4451469	4.512934346016325	ABC
GSM4451470_LM180015	GSM4451470	4.94733408267679	Type_3
GSM4451471_LM180019	GSM4451471	4.078502864561023	GCB
GSM4451472_LM180029	GSM4451472	4.286062785498989	GCB
GSM4451473_LM180034	GSM4451473	4.608879954265786	ABC
GSM4451474_LM180077	GSM4451474	4.74389369844729	ABC
GSM4451475_LM180078	GSM4451475	5.258400284985502	Type_3
GSM4451476_LM180079	GSM4451476	4.491671538041386	GCB
GSM4451477_LM180081	GSM4451477	3.9184717206246136	ABC
GSM4451478_LM180093	GSM4451478	4.338686861507233	GCB
GSM4451479_LM180107	GSM4451479	4.215508569382694	Type_3
GSM4451480_LM180109	GSM4451480	1.9630644383741713	ABC
GSM4451481_LM180117	GSM4451481	4.8482574699304575	Type_3
GSM4451482_LM180118	GSM4451482	6.059869482152183	ABC
GSM4451483_LM180119	GSM4451483	5.366550976410496	ABC
GSM4451484_LM180122	GSM4451484	4.45991533294165	ABC
GSM4451485_LM180123	GSM4451485	4.62762873452513	GCB
GSM4451486_O140100	GSM4451486	2.841375687622643	Type_3
