gene	high_median	low_median	logCPM_difference	p_value	fdr
ZFYVE26	4.997186949112553	3.0477334410396395	1.9494535080729136	6.165638732345113e-10	3.6836315171173393e-07
JADE3	4.7490030535819585	1.2742105976941185	3.4747924558878402	3.837068908365684e-09	3.6836315171173393e-07
UGCG	5.558775097776127	3.019846234083559	2.5389288636925684	5.157544523900727e-09	3.6836315171173393e-07
DNM2	6.66177401028464	5.447031854961097	1.2147421553235427	2.1010083103157192e-09	3.6836315171173393e-07
TRIM44	5.831059977004509	3.975740969493728	1.855319007510781	5.160636944143327e-09	3.6836315171173393e-07
GOLGA7	4.712872743246278	2.4642452546941893	2.2486274885520885	4.234005070907495e-09	3.6836315171173393e-07
TOPBP1	5.579201791678289	2.450340038682214	3.1288617529960745	5.693471402415256e-09	3.6836315171173393e-07
FAM111A	5.627881391351366	3.816741543495749	1.811139847855617	1.7210142717247576e-09	3.6836315171173393e-07
VAC14	5.396665054649512	3.7031243644725027	1.6935406901770094	3.4658250039478877e-09	3.6836315171173393e-07
POLG	5.40373844081182	2.7053043451388383	2.6984340956729813	4.676444453547252e-09	3.6836315171173393e-07
CCDC88C	6.024016934052103	3.676030102919357	2.347986831132746	1.0338335674753702e-09	3.6836315171173393e-07
ZNF345	1.797473512863724	0.4233161150040599	1.3741573978596642	3.4005460952136792e-09	3.6836315171173393e-07
SETDB1	5.327913467218468	3.455307260343875	1.8726062068745932	4.2263138263011795e-09	3.6836315171173393e-07
CRTC3	4.696038559572688	2.8590527573945512	1.8369858021781371	8.394086172373335e-10	3.6836315171173393e-07
RBMXL1	3.730382755660595	1.9684796166447074	1.7619031390158877	5.679909775232495e-09	3.6836315171173393e-07
XRN1	4.589302015774127	2.2450564444331738	2.344245571340953	3.837068908365684e-09	3.6836315171173393e-07
PARP8	4.922687917213917	2.2610389606778005	2.6616489565361166	3.474328795975276e-09	3.6836315171173393e-07
ZSCAN25	3.329295722608022	1.2406434048863682	2.088652317721654	5.129786657807787e-09	3.6836315171173393e-07
SAMD9L	5.332033763975543	2.758941721330716	2.573092042644827	5.157544523900727e-09	3.6836315171173393e-07
TSHZ1	3.908231151969292	1.0362372486593026	2.8719939033099893	4.676444453547252e-09	3.6836315171173393e-07
CXCL11	3.8897641604681796	0.4821607961953601	3.4076033642728194	5.485744049579353e-10	3.6836315171173393e-07
GGA3	5.441121557027833	3.71736463967077	1.7237569173570626	2.1063038984199817e-09	3.6836315171173393e-07
PTPN2	5.629095536678282	3.676084342171609	1.9530111945066726	2.8462451088933875e-09	3.6836315171173393e-07
KCTD5	4.754345209876555	2.252423653475115	2.50192155640144	3.4658250039478877e-09	3.6836315171173393e-07
ZNF407	3.368580471102141	1.463816321369887	1.904764149732254	1.716641109949064e-09	3.6836315171173393e-07
SRFBP1	2.649821848670787	0.5882020984794176	2.06161975019137	4.210968574540744e-09	3.6836315171173393e-07
IFNAR1	5.307286157552481	4.061091846204324	1.246194311348157	5.693471402415256e-09	3.6836315171173393e-07
ZNF551	2.3829824606647163	0.5318167725020446	1.8511656881626717	4.665183058504895e-09	3.6836315171173393e-07
DDX5	8.98803982592814	6.725750377084906	2.2622894488432346	5.693471402415256e-09	3.6836315171173393e-07
SNX20	3.789793726450829	0.8177661211086538	2.9720276053421752	3.790565891528775e-09	3.6836315171173393e-07
TXLNA	6.1612642289316675	4.372033546180939	1.7892306827507287	3.14505675260909e-09	3.6836315171173393e-07
ALS2	3.2793981243586066	1.226300692529792	2.0530974318288147	5.693471402415256e-09	3.6836315171173393e-07
CCNK	5.118632660684225	2.7296529812988473	2.388979679385378	4.2263138263011795e-09	3.6836315171173393e-07
ZCCHC2	3.881327416138555	1.46379262883414	2.417534787304415	3.1373172542808193e-09	3.6836315171173393e-07
SIK3	4.63530429386243	2.436891174924481	2.198413118937949	5.129786657807787e-09	3.6836315171173393e-07
PPP1R21	4.471661474745016	2.4502250959404384	2.0214363788045775	7.585696933584244e-10	3.6836315171173393e-07
CXCL9	9.431312960267679	3.511816493898095	5.9194964663695835	3.14505675260909e-09	3.6836315171173393e-07
TRMT44	3.1038698920123426	1.743830505233365	1.3600393867789777	1.8993743170142995e-09	3.6836315171173393e-07
KIAA0947	4.78798181381472	2.1031662703580354	2.6848155434566845	3.4658250039478877e-09	3.6836315171173393e-07
USP25	4.543854743398876	2.16073836375362	2.3831163796452564	5.148277127726346e-09	3.6836315171173393e-07
TRAFD1	6.042670103395723	4.045859968108901	1.9968101352868226	2.1063038984199817e-09	3.6836315171173393e-07
GJD3	2.9395371649133386	1.0114018827985207	1.9281352821148179	5.625949297437538e-09	3.6836315171173393e-07
MCL1	8.553056752346443	6.7402462205770295	1.8128105317694132	3.837068908365684e-09	3.6836315171173393e-07
OXSR1	5.393667494313728	2.591121070611698	2.8025464237020303	4.234005070907495e-09	3.6836315171173393e-07
ZNF317	4.97563974924465	2.984359663452283	1.9912800857923667	2.1063038984199817e-09	3.6836315171173393e-07
YTHDC2	4.45535325486164	1.6267220781039016	2.8286311767577383	4.665183058504895e-09	3.6836315171173393e-07
ACSL1	5.293514368372636	2.3540340416294177	2.939480326743218	3.827727927558088e-09	3.6836315171173393e-07
MAP3K5	4.08260949427852	1.5584542308629472	2.524155263415573	1.9041873052649618e-09	3.6836315171173393e-07
