gene	high_median	low_median	logCPM_difference	p_value	fdr
CXCL11	3.88976416046818	0.4821607961953601	3.4076033642728194	5.485744049579353e-10	3.6836315171173393e-07
MNDA	5.163870027354379	1.3610157466710564	3.8028542806833223	1.3940295372525994e-10	3.6836315171173393e-07
STAT1	7.949044999857257	5.007237794111612	2.941807205745645	6.84436770378525e-10	3.6836315171173393e-07
IFI16	7.628212977482484	4.579622693612631	3.048590283869853	7.633375971691008e-09	3.802454322379493e-07
OAS3	4.9071520285604375	2.2484257019570526	2.658726326603385	2.4077628534892627e-08	5.229573101643132e-07
IFIT2	3.478100852227189	1.018104415088605	2.459996437138584	1.041402077192632e-07	1.154918597332852e-06
PYHIN1	4.323607084041429	1.08299230459086	3.240614779450569	1.0497606884807125e-07	1.154918597332852e-06
DDX58	4.131052328420688	2.5746685976108044	1.5563837308098831	1.0513343729805296e-07	1.154918597332852e-06
OAS1	5.759526863283964	3.967386300527585	1.7921405627563782	2.787527480572412e-07	2.2149108976119383e-06
IRF9	5.820074558242461	4.608874471830919	1.2112000864115418	3.0396087206378345e-07	2.3536640286992523e-06
OAS2	6.04516891351896	4.63318001736592	1.411988896153041	6.575804457687183e-07	4.220094154537038e-06
AIM2	6.105581814192384	3.3175629583100417	2.788018855882342	7.786987555294009e-07	4.80804752575339e-06
IFIT3	4.0729614410386725	1.9581907614919436	2.114770679546729	1.1816049968220429e-06	6.715019235671125e-06
IFI44	2.931065840825932	1.8101258151064472	1.1209400257194846	9.29555641049548e-06	3.854472752573599e-05
IFIT1	2.393217705939569	1.1055896208398526	1.2876280850997164	1.5644808678962063e-05	6.110658418421983e-05
STAT2	6.372953568000703	5.37498717542402	0.9979663925766832	1.6961131118795738e-05	6.520302070804545e-05
MX2	5.40591988025138	3.758895895945338	1.647023984306042	8.113093105820665e-05	0.0002643918565896
IFI44L	3.465212761131297	1.6984652895541534	1.7667474715771434	0.0001929522626913	0.0005830158866334
RSAD2	2.330044510852785	1.1092164685269874	1.2208280423257976	0.0009037216832882	0.0024024303411128
IFI27	5.153008961671636	4.490185095522435	0.6628238661492016	0.0163576703949899	0.0345532578436702
MX1	5.250398901494828	4.514079599489019	0.7363193020058088	0.0163631730223054	0.0345560671641521
IFI6	3.89018469673786	3.678176303278378	0.2120083934594814	0.0995774968802706	0.1773260128082822
IRF7	4.139725683958783	3.733039293049997	0.4066863909087859	0.11759626522154	0.2062635752265559
ISG15	4.073996479789553	4.213241387881549	-0.1392449080919959	0.9021836041473332	1.0
