sample	gsm	coo	IFI16	AIM2	MNDA	PYHIN1
GSM4451376_C130795	GSM4451376	GCB	6.113011595589174	1.5596330228548407	1.907778966348139	1.7712788120702907
GSM4451377_C140386	GSM4451377	ABC	8.415165423421117	6.133108691097366	7.2301414767637215	5.078314496651519
GSM4451378_C140526	GSM4451378	ABC	7.067619662572114	5.437280575865683	2.8929400497319677	2.3437439207973694
GSM4451379_C140622	GSM4451379	ABC	6.890490961587722	4.859309810864608	5.069681357407403	1.8855264284131712
GSM4451380_C150199	GSM4451380	ABC	8.538352327759664	4.339265252999945	4.255642523774271	1.4976720023560062
GSM4451381_C150587	GSM4451381	GCB	6.826792123246425	5.684578209860221	0.993626295919181	1.130548993303279
GSM4451382_G130026	GSM4451382	GCB	6.107733127912562	5.681755283135648	1.6005925576566506	3.29183100840142
GSM4451383_G130276	GSM4451383	GCB	7.522395157909197	7.558139210185815	2.4885086059695456	4.087994545986818
GSM4451384_G140114	GSM4451384	ABC	7.294119888980552	5.150939505700544	4.24403644320901	3.9642666818235295
GSM4451385_G150038	GSM4451385	Type_3	3.072219035298725	0.9584157773638524	0.5792226438062867	0.4428689198049176
GSM4451386_GU130024	GSM4451386	Type_3	7.677538133291028	6.7704668949401405	4.279744163913993	4.224837668719024
GSM4451387_GU130035	GSM4451387	GCB	0.6283526863340961	1.0912486125014969	0.0	0.0
GSM4451388_GU130061	GSM4451388	ABC	7.364756113054096	4.465236315693046	3.7267542506701674	2.9597300391920656
GSM4451389_GU130065	GSM4451389	ABC	7.572372836912975	5.775785085397807	5.158894583321545	4.759857843692236
GSM4451390_GU140083	GSM4451390	ABC	7.746099300848719	6.5999655776623305	5.803722206112275	5.024521303227761
GSM4451391_LM130017	GSM4451391	GCB	0.5997938545268447	0.0	0.0	0.0
GSM4451392_LM130091	GSM4451392	ABC	1.2799544630048432	0.4871910556349955	0.0	0.9204424793118864
GSM4451393_LM130100	GSM4451393	GCB	6.741322603845048	6.65618246717855	1.4157899029836534	2.189517408487537
GSM4451394_LM140017	GSM4451394	Type_3	7.443443991515463	7.079931316310075	3.2163343590678166	4.336130964285089
GSM4451395_LM140023	GSM4451395	ABC	8.030711806894788	6.490329540126876	5.359411942438011	5.161696859165154
GSM4451396_LM140043	GSM4451396	GCB	3.6973929699760015	3.196716696396812	1.6339087360473292	0.6902192687167326
GSM4451397_LM140044	GSM4451397	ABC	7.586443220118194	6.213179080948847	4.215107795866505	4.045503996375067
GSM4451398_LM140051	GSM4451398	Type_3	5.466818767814662	4.164838774995785	2.0457433363487545	2.234813478825679
GSM4451399_LM140071	GSM4451399	Type_3	7.522423417443957	5.527458272653644	3.0790499219955225	3.825308875825298
GSM4451400_LM140080	GSM4451400	ABC	6.621731335065729	5.056735182962783	4.794548265238624	2.1416665437778124
GSM4451401_LM140090	GSM4451401	ABC	6.6954866118046485	5.324720467767297	4.277425020217957	2.5473534577084926
